Event,Key/Mouse,Timestamp
MouseMove,"Move to (1119, 481)",0.014084
MouseMove,"Move to (1119, 482)",0.034897
MouseMove,"Move to (1121, 483)",0.04217
MouseMove,"Move to (1121, 484)",0.048658
MouseMove,"Move to (1122, 485)",0.056523
MouseMove,"Move to (1124, 486)",0.064316
MouseMove,"Move to (1125, 487)",0.071241
MouseMove,"Move to (1125, 488)",0.080093
MouseMove,"Move to (1126, 489)",0.084987
MouseMove,"Move to (1128, 489)",0.097289
MouseMove,"Move to (1128, 490)",0.10449
MouseMove,"Move to (1129, 491)",0.111885
MouseMove,"Move to (1130, 492)",0.120384
MouseMove,"Move to (1130, 492)",0.126796
MouseMove,"Move to (1132, 492)",0.132469
MouseMove,"Move to (1133, 493)",0.145621
MouseMove,"Move to (1133, 493)",0.153439
MouseMove,"Move to (1135, 493)",0.161914
MouseMove,"Move to (1137, 494)",0.168441
MouseMove,"Move to (1138, 495)",0.177367
MouseMove,"Move to (1139, 495)",0.184707
MouseMove,"Move to (1141, 496)",0.192178
MouseMove,"Move to (1141, 497)",0.201459
MouseMove,"Move to (1142, 497)",0.208875
MouseMove,"Move to (1143, 498)",0.215386
MouseMove,"Move to (1143, 498)",0.233594
MouseMove,"Move to (1144, 498)",0.305063
MouseMove,"Move to (1145, 498)",0.312388
MouseMove,"Move to (1146, 498)",0.32008
MouseMove,"Move to (1147, 496)",0.326181
MouseMove,"Move to (1149, 495)",0.333238
MouseMove,"Move to (1151, 492)",0.341421
MouseMove,"Move to (1153, 490)",0.35029
MouseMove,"Move to (1154, 487)",0.361804
MouseMove,"Move to (1155, 485)",0.369791
MouseMove,"Move to (1156, 484)",0.377217
MouseMove,"Move to (1158, 482)",0.385045
MouseMove,"Move to (1159, 480)",0.393068
MouseMove,"Move to (1160, 480)",0.400941
MouseMove,"Move to (1161, 478)",0.409811
MouseMove,"Move to (1163, 476)",0.417158
MouseMove,"Move to (1165, 475)",0.425618
MouseMove,"Move to (1167, 473)",0.4342
MouseMove,"Move to (1169, 472)",0.441109
MouseMove,"Move to (1172, 471)",0.447738
MouseMove,"Move to (1175, 470)",0.45677
MouseMove,"Move to (1177, 468)",0.464718
MouseMove,"Move to (1180, 466)",0.472772
MouseMove,"Move to (1184, 464)",0.479889
MouseMove,"Move to (1187, 463)",0.486206
MouseMove,"Move to (1190, 462)",0.493023
MouseMove,"Move to (1193, 461)",0.499816
MouseMove,"Move to (1194, 461)",0.510073
MouseMove,"Move to (1195, 460)",0.521312
MouseMove,"Move to (1196, 460)",0.645837
MouseMove,"Move to (1196, 460)",0.653278
MouseMove,"Move to (1198, 459)",0.666643
MouseMove,"Move to (1201, 457)",0.67355
MouseMove,"Move to (1205, 455)",0.680993
MouseMove,"Move to (1210, 453)",0.689347
MouseMove,"Move to (1222, 449)",0.696349
MouseMove,"Move to (1239, 445)",0.705304
MouseMove,"Move to (1265, 443)",0.71284
MouseMove,"Move to (1309, 443)",0.720301
MouseMove,"Move to (1367, 443)",0.728908
MouseMove,"Move to (1435, 445)",0.737004
MouseMove,"Move to (1510, 450)",0.745576
MouseMove,"Move to (1582, 454)",0.752827
MouseMove,"Move to (1647, 457)",0.761219
MouseMove,"Move to (997, 553)",0.767795
MouseMove,"Move to (1012, 553)",0.985521
MouseMove,"Move to (1025, 553)",0.992981
MouseMove,"Move to (1046, 554)",1.001261
MouseMove,"Move to (1064, 556)",1.01012
MouseMove,"Move to (1081, 556)",1.016421
MouseMove,"Move to (1093, 555)",1.024485
MouseMove,"Move to (1103, 553)",1.032811
MouseMove,"Move to (1109, 551)",1.042155
MouseMove,"Move to (1111, 549)",1.048418
MouseMove,"Move to (1114, 548)",1.057255
MouseMove,"Move to (1117, 548)",1.063781
MouseMove,"Move to (1119, 548)",1.07005
MouseMove,"Move to (1122, 548)",1.080097
MouseMove,"Move to (1125, 548)",1.08342
MouseMove,"Move to (1127, 548)",1.097191
MouseMove,"Move to (1130, 548)",1.104557
MouseMove,"Move to (1133, 548)",1.112665
MouseMove,"Move to (1134, 550)",1.119969
MouseMove,"Move to (1134, 552)",1.126986
MouseMove,"Move to (1134, 554)",1.132842
MouseMove,"Move to (1133, 556)",1.145242
MouseMove,"Move to (1132, 559)",1.153191
KeyPress,w,1.15421
MouseMove,"Move to (1130, 562)",1.161146
MouseMove,"Move to (1128, 566)",1.169333
MouseMove,"Move to (1125, 569)",1.175383
MouseMove,"Move to (1122, 573)",1.181202
MouseMove,"Move to (1118, 577)",1.189952
MouseMove,"Move to (1112, 581)",1.201146
MouseMove,"Move to (1106, 586)",1.209153
